Title,Price_AED,Location,Type,Bedrooms,Bathrooms,Area_SqFt
Vacant Unit | Fully Furnished | Luxury Home,85000,"Laya Heights, Dubai Studio City, Dubai",Apartment,1,2,742
Upgraded Unit | Fully Furnished | Sea View,125000,"Rimal 3, Rimal, Jumeirah Beach Residence, Dubai",Apartment,1,2,1157
Keys with me I Independent I Urgent Rent,375000,"Tilal Al Furjan, Al Furjan, Dubai",Villa,4,5,4613
Fully Furnished | Spacious Unit | Rady to Move,100000,"Giovanni Boutique Suites, Dubai Sports City, Dubai",Apartment,2,2,881
LARGEST LAYOUT | PRIVATE POOL | 2BR + STUDY,240000,"Springs 9, The Springs, Dubai",Townhouse,2,3,3578
Fully Furnished | Renovated | Community view,65000,"Suburbia Podium, Suburbia, Downtown Jebel Ali, Dubai",Apartment,1,2,751
Brand New | 4BR Luxury Villa | Pool and Elevator,700000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,5,13855
Hot Deal | Premium Italian Furniture | Park View,520000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,2,3,1779
On the Park and Pool|Appliances|Landscaped,290000,"Aura Gardens, Tilal Al Ghaf, Dubai",Townhouse,4,5,2453
Breathtaking Creek View | High Floor | Vacant,195000,"D1 Tower, Culture Village, Dubai",Apartment,1,2,1037
2 Bedroom | Prime Location | Vacant Now,170000,"Vida Residence 2, Vida Residence, The Hills, Dubai",Apartment,2,2,1298
Luxury Penthouse | High Floor | Vacant,1150000,"The S Tower, Dubai Internet City, Dubai",Penthouse,4,5,5062
Play Park | Best Location | D2 | Private Pool,650000,"Legacy, Jumeirah Park, Dubai",Villa,5,6,4689
Vacant | Garden and Sea View | Upgraded,450000,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai",Apartment,2,3,1677
Contemporary Villa | Brand New | Garden Area,700000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12001
Single Storey Villa | Brand New | Garden Area,350000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12925
Contemporary Design | Ultra Luxury | Burj View,1100000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,3,5,2436
NEAR TO CENTRAL PARK | READY TO MOVE IN | 2BEDROOM,100000,"Warda Apartments 1A, Warda Apartments 1, Warda Apartments, Town Square, Dubai",Apartment,2,2,941
Charming Studio:Affordable for family,20000,"Fire Station Road, Muwaileh, Sharjah",Apartment,studio,1,300
Fully Upgraded | Huge Unit | Available Now,270000,"Azure, Dubai Marina, Dubai",Apartment,3,3,2028
Brand New | Contemporary 5BR Villa W Private Pool,1100000,"Al Barsha South 2, Al Barsha South, Al Barsha, Dubai",Villa,5,6,10000
LARGE 2BR - WATERFRONT LUXURY | UNIQUE,265000,"Palace Beach Residence Tower 1, Palace Beach Residence, EMAAR Beachfront, Dubai Harbour, Dubai",Apartment,2,2,1199
