Price_AED,City,Neighborhood,Property_Name,Type,Bedrooms,Bathrooms,Area_SqFt,Is_Furnished,Is_Upgraded,Has_View,Has_Maids,Has_Pool,Is_Ejari
85000,Dubai,Dubai Studio City,Laya Heights,Apartment,1,2,742,1,1,0,0,0,0
125000,Dubai,Jumeirah Beach Residence,Rimal 3 - Rimal,Apartment,1,2,1157,1,1,1,0,0,0
375000,Dubai,Al Furjan,Tilal Al Furjan,Villa,4,5,4613,0,0,0,0,0,0
100000,Dubai,Dubai Sports City,Giovanni Boutique Suites,Apartment,2,2,881,1,0,0,0,0,0
240000,Dubai,The Springs,Springs 9,Townhouse,2,3,3578,0,0,0,0,1,0
65000,Dubai,Downtown Jebel Ali,Suburbia Podium - Suburbia,Apartment,1,2,751,1,1,1,0,0,0
700000,Dubai,Nad Al Sheba,Nad Al Sheba Villas - Nad Al Sheba 3,Villa,4,5,13855,0,1,0,0,1,0
520000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Apartment,2,3,1779,0,0,1,0,0,0
290000,Dubai,Tilal Al Ghaf,Aura Gardens,Townhouse,4,5,2453,0,0,0,0,1,0
195000,Dubai,Culture Village,D1 Tower,Apartment,1,2,1037,0,0,1,0,0,0
170000,Dubai,The Hills,Vida Residence 2 - Vida Residence,Apartment,2,2,1298,0,0,0,0,0,0
1150000,Dubai,Dubai Internet City,The S Tower,Penthouse,4,5,5062,0,1,0,0,0,0
650000,Dubai,Jumeirah Park,Legacy,Villa,5,6,4689,0,0,0,0,1,0
450000,Dubai,Bluewaters,Apartment Building 2 - Bluewaters Residences,Apartment,2,3,1677,0,1,1,0,0,0
700000,Dubai,Nad Al Sheba,Nad Al Sheba Villas - Nad Al Sheba 3,Villa,4,6,12001,0,1,0,0,0,0
350000,Dubai,Nad Al Sheba,Nad Al Sheba Villas - Nad Al Sheba 3,Villa,4,6,12925,0,1,0,0,0,0
1100000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Apartment,3,5,2436,0,1,1,0,0,0
100000,Dubai,Town Square,Warda Apartments 1A - Warda Apartments 1 - Warda Apartments,Apartment,2,2,941,0,0,0,0,0,0
20000,Sharjah,Muwaileh,Fire Station Road,Apartment,,1,300,0,0,0,0,0,0
270000,Dubai,Dubai Marina,Azure,Apartment,3,3,2028,0,1,0,0,0,0
1100000,Dubai,Al Barsha,Al Barsha South 2 - Al Barsha South,Villa,5,6,10000,0,1,0,0,1,0
265000,Dubai,Dubai Harbour,Palace Beach Residence Tower 1 - Palace Beach Residence - EMAAR Beachfront,Apartment,2,2,1199,0,1,0,0,0,0
500000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Duplex,1,2,1500,1,1,1,0,0,0
750000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Duplex,2,3,2469,0,1,1,0,0,0
1000000,Dubai,Jumeirah,Sunset Residence - Jumeirah 3,Apartment,3,4,6400,0,0,0,0,0,0
200000,Dubai,Arabian Ranches 3,Joy,Townhouse,4,4,2665,0,0,0,0,0,0
1100000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Apartment,3,4,2436,0,1,1,0,0,0
1300000,Dubai,Dubai Hills Estate,Palm Hills,Villa,5,6,7104,0,1,1,0,1,0
110000,Dubai,Jumeirah Village Circle,Binghatti Phantom - District 17,Apartment,1,2,795,0,0,0,0,1,0
119999,Dubai,Business Bay,UPSIDE Living,Apartment,,1,474,0,0,1,0,0,0
85000,Dubai,Jumeirah Beach Residence,Murjan 2 - Murjan,Apartment,,1,714,1,0,0,0,0,0
700000,Dubai,Nad Al Sheba,Nad Al Sheba Villas - Nad Al Sheba 3,Villa,4,6,12001,0,1,0,0,0,0
350000,Dubai,Nad Al Sheba,Nad Al Sheba Villas - Nad Al Sheba 3,Villa,4,6,12925,0,1,0,0,0,0
1100000,Dubai,Zabeel,One Za'abeel The Residences - Zabeel 1,Apartment,3,5,2436,0,1,1,0,0,0
100000,Dubai,Town Square,Warda Apartments 1A - Warda Apartments 1 - Warda Apartments,Apartment,2,2,941,0,0,0,0,0,0
1100000,Dubai,Palm Jumeirah,Garden Homes Frond C - Garden Homes,Villa,5,6,5000,0,0,1,0,0,0
130000,Dubai,Dubai Marina,Princess Tower,Apartment,2,2,1186,0,0,1,0,0,0
20000,Sharjah,Muwaileh,Fire Station Road,Apartment,,1,300,0,0,0,0,0,0
340000,Dubai,Downtown Dubai,The Address Sky View Tower 1 - The Address Sky View Towers,Apartment,2,3,1543,0,0,0,0,0,0
1000000,Dubai,Bluewaters,Apartment Building 2 - Bluewaters Residences,Apartment,4,5,2468,1,0,1,0,0,0
550000,Dubai,Umm Suqeim,Umm Suqeim 1 Villas - Umm Suqeim 1,Villa,4,4,4500,0,1,0,1,1,0
450000,Dubai,Jumeirah,Jumeirah 1 Villas - Jumeirah 1,Villa,4,4,4000,0,1,0,0,0,0
200000,Dubai,Downtown Dubai,Boulevard Central Tower 2 - Boulevard Central Towers,Apartment,2,2,1267,1,0,1,0,0,0
115000,Dubai,Damac Hills 2,Coursetia,Villa,3,5,1881,0,1,0,1,0,0
270000,Dubai,Dubai Marina,Azure,Apartment,3,3,2028,0,1,0,0,0,0
400000,Dubai,Arabian Ranches 3,Caya 1,Villa,4,4,6281,0,1,0,0,0,0
1100000,Dubai,Al Barsha,Al Barsha South 2 - Al Barsha South,Villa,5,6,10000,0,1,0,0,1,0
145000,Dubai,The Valley,Nara,Townhouse,3,4,2089,0,0,0,0,1,0
1500000,Dubai,Bluewaters,Apartment Building 10 - Bluewaters Residences,Apartment,4,6,2581,1,0,1,0,0,0
500000,Dubai,Jumeirah Beach Residence,1 JBR,Apartment,2,3,1925,1,1,1,0,0,0
200000,Dubai,Dubai Hills Estate,Park Field Tower 2 - Park Field,Apartment,2,2,1013,0,1,0,0,0,0
